Tipo,Codigo,Titulo,OrigemPasta,OrigemArquivo,DestinoPasta,DestinoArquivo
PRODUTO,DS026,Motobomba de piscina WEG Sibrape,50CFE784-4F6B-4E36-874A-BD3365F6A885,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS026_motobomba_de_piscina_weg_sibrape,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS026_motobomba_de_piscina_weg_sibrape\DS026_motobomba_de_piscina_weg_sibrape_02.jpg
PRODUTO,DS026,Motobomba de piscina WEG Sibrape,50CFE784-4F6B-4E36-874A-BD3365F6A885,3-Foto-3.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS026_motobomba_de_piscina_weg_sibrape,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS026_motobomba_de_piscina_weg_sibrape\DS026_motobomba_de_piscina_weg_sibrape_03.jpg
PRODUTO,DS027,Tabua de corte em madeira,0192A27A-A86D-4AC1-8A7D-EFAEF977E168,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS027_tabua_de_corte_em_madeira,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS027_tabua_de_corte_em_madeira\DS027_tabua_de_corte_em_madeira_01.jpg
PRODUTO,DS028,Banheira de bebe Adoleta 15L rosa,EE41C3D3-1ABC-4E81-9E93-093E3B8ACDCE,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS028_banheira_de_bebe_adoleta_15l_rosa,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS028_banheira_de_bebe_adoleta_15l_rosa\DS028_banheira_de_bebe_adoleta_15l_rosa_01.jpg
PRODUTO,DS028,Banheira de bebe Adoleta 15L rosa,EE41C3D3-1ABC-4E81-9E93-093E3B8ACDCE,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS028_banheira_de_bebe_adoleta_15l_rosa,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS028_banheira_de_bebe_adoleta_15l_rosa\DS028_banheira_de_bebe_adoleta_15l_rosa_02.jpg
PRODUTO,DS029,Babuche bege,14A0B1C7-8FF5-4E2C-899F-DEFDBBA93B18,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS029_babuche_bege,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS029_babuche_bege\DS029_babuche_bege_01.jpg
PRODUTO,DS029,Babuche bege,14A0B1C7-8FF5-4E2C-899F-DEFDBBA93B18,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS029_babuche_bege,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS029_babuche_bege\DS029_babuche_bege_02.jpg
PRODUTO,DS030,Garrafa de vidro 1L Mimo Style,79C0259B-EBFB-475B-B2C0-DF9011842FA1,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS030_garrafa_de_vidro_1l_mimo_style,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS030_garrafa_de_vidro_1l_mimo_style\DS030_garrafa_de_vidro_1l_mimo_style_01.jpg
PRODUTO,DS030,Garrafa de vidro 1L Mimo Style,79C0259B-EBFB-475B-B2C0-DF9011842FA1,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS030_garrafa_de_vidro_1l_mimo_style,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS030_garrafa_de_vidro_1l_mimo_style\DS030_garrafa_de_vidro_1l_mimo_style_02.jpg
PRODUTO,DS031,Caixas organizadoras kit 12,D932D1A9-5A07-4DC5-A355-99EC33E9D7E2,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS031_caixas_organizadoras_kit_12,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS031_caixas_organizadoras_kit_12\DS031_caixas_organizadoras_kit_12_01.jpg
PRODUTO,DS031,Caixas organizadoras kit 12,D932D1A9-5A07-4DC5-A355-99EC33E9D7E2,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS031_caixas_organizadoras_kit_12,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS031_caixas_organizadoras_kit_12\DS031_caixas_organizadoras_kit_12_02.jpg
PRODUTO,DS032,Extensao eletrica 15 m,CB2E9E1F-B32E-449F-BB0E-8B11E59554E2,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS032_extensao_eletrica_15_m,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS032_extensao_eletrica_15_m\DS032_extensao_eletrica_15_m_01.jpg
PRODUTO,DS032,Extensao eletrica 15 m,CB2E9E1F-B32E-449F-BB0E-8B11E59554E2,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS032_extensao_eletrica_15_m,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS032_extensao_eletrica_15_m\DS032_extensao_eletrica_15_m_02.jpg
PRODUTO,DS033,Suporte articulado para TV,79ED91FE-5816-4D9A-AA97-6792FBC4B550,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS033_suporte_articulado_para_tv,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS033_suporte_articulado_para_tv\DS033_suporte_articulado_para_tv_01.jpg
PRODUTO,DS033,Suporte articulado para TV,A5522A6E-CFB4-4CC1-981E-D46B7251C3F8,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS033_suporte_articulado_para_tv,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS033_suporte_articulado_para_tv\DS033_suporte_articulado_para_tv_02.jpg
PRODUTO,DS034,Calisul tira manchas,229D94F8-B8B9-4D8B-A081-747A3E4DC706,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS034_calisul_tira_manchas,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS034_calisul_tira_manchas\DS034_calisul_tira_manchas_01.jpg
PRODUTO,DS035,Kit balsamo labial 4 unidades,229D94F8-B8B9-4D8B-A081-747A3E4DC706,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS035_kit_balsamo_labial_4_unidades,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS035_kit_balsamo_labial_4_unidades\DS035_kit_balsamo_labial_4_unidades_01.jpg
PRODUTO,DS036,Concreto endurecedor com formol,229D94F8-B8B9-4D8B-A081-747A3E4DC706,3-Foto-3.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS036_concreto_endurecedor_com_formol,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS036_concreto_endurecedor_com_formol\DS036_concreto_endurecedor_com_formol_01.jpg
PRODUTO,DS037,Creme facial retinol colageno HA,EC20E29C-E7F5-4057-A1E6-C4235FDCA0E4,1-Foto-1.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS037_creme_facial_retinol_colageno_ha,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS037_creme_facial_retinol_colageno_ha\DS037_creme_facial_retinol_colageno_ha_01.jpg
PRODUTO,DS038,Removedor de ferrugem Wurth 250 ml,EC20E29C-E7F5-4057-A1E6-C4235FDCA0E4,2-Foto-2.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS038_removedor_de_ferrugem_wurth_250_ml,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS038_removedor_de_ferrugem_wurth_250_ml\DS038_removedor_de_ferrugem_wurth_250_ml_01.jpg
PRODUTO,DS039,Dimethylx 60 capsulas,EC20E29C-E7F5-4057-A1E6-C4235FDCA0E4,3-Foto-3.jpg,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS039_dimethylx_60_capsulas,C:\Users\User\duda\Fotos_Organizadas\Fotos_Renomadas\DS039_dimethylx_60_capsulas\DS039_dimethylx_60_capsulas_01.jpg
